trial_id,number_of_countries,min_end_date,max_end_date,comp_date,has_results,includes_pip,rare_disease,phase,bioequivalence_study,health_volunteers,trial_status,terminated,sponsor_status
2004-000007-18,1,,,0,1,0,0,3,0,0,1,0,1
2004-000012-13,3,,,0,1,0,0,2,0,0,2,0,1
2004-000015-25,4,2006-09-25,2006-09-25,2,1,0,0,3,0,0,2,0,1
2004-000016-10,2,,,0,0,0,0,2,0,0,2,0,1
2004-000020-32,1,,,0,1,0,0,3,0,0,1,0,1
2004-000022-75,4,,,0,1,0,0,3,0,0,2,0,1
2004-000023-15,14,2007-07-13,2007-07-22,11,1,0,0,3,0,0,2,0,1
2004-000025-29,3,,,0,1,0,0,2,0,0,1,0,1
2004-000028-34,4,2008-03-10,2008-03-10,2,1,0,0,3,0,0,1,0,1
2004-000029-31,1,,,0,0,0,3,3,0,0,0,0,1
2004-000033-11,1,2005-06-30,2005-06-30,1,1,0,0,3,0,0,1,0,1
2004-000035-28,1,2004-12-01,2004-12-01,1,0,0,0,3,0,1,1,0,1
2004-000039-27,8,2006-05-12,2006-05-29,7,1,0,0,3,0,0,1,0,2
2004-000046-21,5,2007-07-17,2007-07-17,1,1,0,0,2,0,0,2,1,1
2004-000047-18,1,,,0,1,0,0,3,0,0,1,0,1
2004-000050-23,2,2006-06-15,2006-06-15,1,1,0,0,2,0,0,2,0,1
2004-000053-34,1,2005-11-22,2005-11-22,1,0,0,0,3,0,0,1,0,1
2004-000060-27,1,2007-11-27,2007-11-27,1,1,0,3,3,0,0,1,0,1
2004-000063-10,1,,,0,1,0,0,4,0,0,0,0,1
2004-000073-64,1,,,0,1,0,0,2,0,0,1,0,1
2004-000074-31,2,,,0,1,0,0,2,0,0,1,0,1
2004-000081-13,1,,,0,1,0,0,3,0,0,0,0,1
2004-000083-27,5,2009-09-30,2009-11-09,4,1,0,0,3,0,0,2,0,1
2004-000086-35,2,,,0,1,0,0,3,0,0,1,0,1
2004-000087-27,2,,,0,1,0,0,3,0,0,1,0,1
2004-000088-92,3,2006-04-27,2006-04-27,1,1,0,2,2,0,0,2,0,1
2004-000089-11,2,,,0,0,0,0,3,0,0,1,0,1
2004-000091-14,5,,,0,1,0,2,3,0,0,2,0,1
2004-000100-40,5,2007-11-29,2007-11-29,3,1,0,2,2,0,0,2,1,1
2004-000106-41,1,,,0,0,0,0,2,0,0,1,0,1
2004-000107-18,1,,,0,0,0,0,3,0,0,0,0,1
2004-000108-42,1,,,0,0,0,0,3,0,0,0,0,1
2004-000113-18,3,,,0,1,0,0,3,0,0,1,1,2
2004-000114-40,3,2007-06-29,2007-06-29,1,1,0,0,3,0,0,1,1,1
2004-000119-24,2,2006-03-29,2006-03-29,1,1,0,0,2,0,0,2,0,1
2004-000120-32,11,2008-11-18,2009-08-28,6,1,0,0,3,0,0,2,0,1
2004-000134-37,8,2009-03-28,2009-03-28,5,1,0,0,3,0,0,2,0,1
2004-000137-11,10,2011-03-24,2011-03-24,4,1,0,0,3,0,0,2,0,1
2004-000138-35,13,2008-05-30,2008-10-14,9,1,0,2,3,0,0,2,0,1
2004-000139-27,1,2006-07-31,2006-07-31,1,1,0,0,3,0,0,1,0,1
2004-000140-25,1,,,0,0,0,0,3,0,0,0,0,1
2004-000142-20,5,2006-08-08,2006-08-08,2,0,0,2,3,0,0,2,1,1
2004-000145-38,3,2006-11-03,2006-11-03,1,1,0,0,2,0,0,2,0,1
2004-000148-26,7,2008-12-19,2008-12-19,5,1,0,0,3,0,0,2,0,1
2004-000149-39,1,2010-06-18,2010-06-18,1,1,0,0,3,0,0,1,0,1
2004-000152-16,7,2010-08-05,2010-08-05,4,1,0,0,3,0,0,2,0,1
2004-000156-16,3,2006-12-02,2006-12-02,2,1,0,0,3,0,0,2,1,1
2004-000160-28,1,,,0,0,0,0,4,0,0,0,0,0
2004-000166-13,6,,,0,0,0,0,3,0,0,2,0,2
2004-000167-95,3,2008-01-23,2008-01-23,3,1,0,0,3,0,0,1,0,1
2004-000168-28,3,,,0,0,0,0,3,0,0,2,0,2
2004-000172-13,6,2010-01-08,2010-01-26,4,1,0,1,3,0,0,2,0,1
2004-000173-65,2,2006-12-21,2006-12-21,1,1,0,1,3,0,0,2,0,1
2004-000174-31,2,2006-09-05,2006-09-05,1,1,0,1,3,0,0,2,0,1
2004-000185-12,5,2008-11-11,2008-11-11,4,1,0,0,3,0,0,2,0,1
2004-000186-35,1,2007-05-31,2007-05-31,1,1,0,0,3,0,0,1,0,1
2004-000195-13,1,,,0,0,0,0,2,0,1,4,0,1
2004-000199-14,5,2007-03-22,2007-03-22,1,1,0,2,3,0,0,2,0,1
2004-000200-40,5,,,0,1,0,0,3,0,0,2,0,1
2004-000202-49,4,2007-12-12,2007-12-12,1,1,0,0,3,0,0,2,0,1
2004-000211-26,1,,,0,1,0,0,2,0,0,1,0,1
2004-000213-19,2,2008-01-21,2008-01-21,2,1,0,0,4,0,0,1,0,1
2004-000219-24,5,2007-11-08,2007-11-08,1,1,0,2,4,0,0,2,1,1
2004-000231-29,2,,,0,1,0,0,0,0,0,3,0,1
2004-000232-91,3,2015-02-26,2015-02-26,1,0,0,0,3,0,0,2,0,2
2004-000235-28,1,,,0,0,0,0,3,0,0,0,0,1
2004-000238-36,2,,,0,1,0,0,3,0,0,0,0,0
2004-000240-25,4,2005-06-27,2005-06-27,1,1,0,2,2,0,0,2,0,1
2004-000242-20,7,2013-06-17,2013-06-17,1,0,0,2,3,0,0,2,0,0
2004-000243-23,2,2007-01-25,2007-05-09,2,0,0,1,2,0,0,1,0,1
2004-000244-24,5,,,0,1,0,0,2,0,0,2,0,2
2004-000245-38,1,,,0,0,0,0,3,0,0,0,0,0
2004-000248-25,3,2007-04-04,2007-04-04,1,1,0,0,3,0,0,1,0,1
2004-000254-23,4,2005-11-24,2005-11-24,1,0,0,3,2,0,0,2,0,1
2004-000280-99,2,,,0,0,0,0,3,0,0,1,0,1
2004-000282-35,3,,,0,1,0,0,3,0,0,2,0,1
2004-000283-27,1,,,0,1,0,1,2,0,0,0,0,1
2004-000288-89,1,,,0,1,0,0,3,0,0,0,0,1
2004-000290-58,1,,,0,1,0,0,3,0,0,4,0,1
2004-000299-15,2,,,0,1,0,0,2,0,0,0,0,1
2004-000304-41,6,2006-12-28,2006-12-28,5,1,0,2,3,0,0,1,0,1
2004-000305-21,7,2006-08-28,2006-09-05,5,1,0,0,2,0,0,2,0,1
2004-000306-46,3,,,0,1,0,0,3,0,0,2,0,1
2004-000311-26,5,2005-11-10,2005-11-10,1,1,0,0,3,0,0,1,0,1
2004-000312-93,5,2007-01-31,2007-03-09,3,1,0,2,3,0,0,2,0,1
2004-000313-19,2,2007-03-09,2007-03-09,1,1,0,0,3,0,0,2,0,1
2004-000315-26,4,2007-07-31,2007-10-01,3,1,0,0,3,0,0,2,0,1
2004-000320-32,4,2010-04-16,2010-04-16,2,1,0,0,4,0,0,2,1,1
2004-000326-70,1,,,0,1,0,0,3,0,0,1,0,1
2004-000327-15,4,2006-12-06,2006-12-06,1,1,0,2,3,0,0,2,1,1
2004-000329-31,1,,,0,0,0,3,3,0,0,0,0,0
2004-000330-36,2,,,0,0,0,2,3,0,0,0,0,1
2004-000333-10,1,2006-03-01,2006-03-01,1,1,0,3,4,0,1,1,0,0
2004-000335-28,5,2006-03-20,2006-03-20,2,1,0,0,0,0,0,2,0,1
2004-000336-81,1,,,0,0,0,0,3,0,0,1,1,1
2004-000337-12,1,,,0,1,0,0,4,0,0,0,0,1
2004-000344-24,4,2009-02-06,2009-02-25,3,1,0,0,2,0,0,2,0,1
2004-000345-38,5,2007-09-13,2007-09-13,4,0,0,0,3,0,0,1,0,1
2004-000346-21,3,,,0,0,0,0,3,0,0,2,0,1
2004-000347-14,4,2006-12-14,2007-03-02,2,1,0,0,3,0,0,2,0,1
2004-000348-25,1,2006-03-03,2006-03-03,1,1,0,0,3,0,0,1,0,1
2004-000349-40,1,2005-10-18,2005-10-18,1,0,0,3,3,0,0,1,0,1
2004-000350-24,2,2006-07-31,2006-07-31,1,1,0,0,0,0,0,2,0,1
2004-000352-16,6,,,0,1,0,0,2,0,0,2,0,1
2004-000353-38,5,,,0,0,0,2,3,0,0,2,1,1
2004-000354-22,5,2006-09-19,2006-09-19,1,1,0,0,3,0,0,2,0,1
2004-000356-17,6,2008-07-22,2008-10-22,4,1,0,2,0,0,0,2,0,1
2004-000358-21,2,,,0,1,0,1,2,0,0,1,0,1
2004-000359-41,2,,,0,1,0,0,2,0,0,1,0,1
2004-000361-35,2,2008-04-10,2008-04-10,2,1,0,0,2,0,0,1,1,1
2004-000362-12,1,,,0,0,0,0,2,0,0,1,0,1
2004-000363-10,1,,,0,1,0,0,4,0,0,1,0,1
2004-000365-35,2,,,0,1,0,0,3,0,0,0,0,1
2004-000367-98,8,2007-01-17,2007-01-31,3,1,0,2,0,0,0,2,0,1
2004-000368-28,7,2007-02-28,2007-02-28,4,1,0,0,2,0,0,2,0,1
2004-000369-37,4,2005-12-16,2005-12-16,1,1,0,0,2,0,0,2,0,1
2004-000370-31,4,2005-08-04,2005-08-04,1,1,0,0,2,0,0,2,0,1
2004-000371-34,5,2005-12-09,2006-01-18,2,1,0,0,2,0,0,1,0,1
2004-000374-31,1,2006-07-21,2006-07-21,1,1,0,3,2,0,0,1,0,1
2004-000376-14,1,,,0,1,0,3,3,0,0,1,0,1
2004-000379-32,3,2007-03-23,2007-10-31,2,1,0,0,2,0,0,2,0,2
2004-000383-27,1,,,0,1,0,0,2,0,0,1,0,1
2004-000384-10,2,,,0,0,0,1,2,0,0,0,0,1
2004-000390-59,2,,,0,1,0,2,2,0,0,2,1,1
2004-000394-60,2,,,0,0,0,1,2,0,0,1,1,1
2004-000397-31,1,2006-12-11,2006-12-11,1,1,0,0,4,0,1,1,0,1
2004-000398-76,1,,,0,0,0,0,2,0,0,0,0,1
2004-000404-40,3,,,0,1,0,2,3,0,0,2,0,1
2004-000405-22,1,,,0,0,0,1,2,0,0,0,0,0
2004-000406-51,7,2007-05-31,2007-05-31,3,1,0,0,2,0,0,2,0,1
2004-000408-41,2,,,0,0,0,0,3,0,0,2,0,1
2004-000411-25,1,,,0,0,0,3,2,0,0,0,0,0
2004-000414-39,2,,,0,1,0,0,4,0,0,1,0,1
2004-000415-26,5,2006-10-10,2007-12-31,2,0,0,2,2,0,0,2,1,1
2004-000417-18,1,,,0,0,0,0,3,0,0,0,0,0
2004-000422-73,1,,,0,0,0,0,3,0,0,1,0,1
2004-000424-32,1,,,0,1,0,0,2,0,0,0,0,1
2004-000432-85,4,2007-02-01,2007-05-21,2,0,0,0,3,0,0,2,0,2
2004-000438-35,1,2007-07-06,2007-07-06,1,0,0,1,3,0,0,1,0,1
2004-000439-27,1,2008-01-24,2008-01-24,1,0,0,1,3,0,0,1,0,1
2004-000440-24,1,,,0,1,0,1,2,0,0,1,0,1
2004-000441-38,3,2007-07-11,2007-07-11,1,0,0,0,3,0,0,2,1,0
2004-000442-21,1,,,0,0,0,0,2,0,0,1,0,1
2004-000443-17,2,,,0,0,0,0,3,0,0,2,0,1
2004-000446-20,2,2011-01-30,2011-01-30,1,1,0,0,3,0,0,2,0,0
2004-000448-26,1,,,0,0,0,0,3,0,0,0,0,1
2004-000450-23,2,,,0,1,0,0,3,0,0,1,0,1
2004-000452-16,4,2009-10-27,2009-10-27,1,1,0,0,3,0,0,1,0,2
2004-000457-34,5,2006-08-11,2006-08-11,3,1,0,0,3,0,0,2,0,1
2004-000462-13,2,,,0,1,0,2,2,0,0,1,0,1
2004-000463-94,2,,,0,1,0,2,2,0,0,1,0,1
2004-000464-28,4,2008-06-10,2008-06-10,3,0,0,1,3,0,0,1,0,1
2004-000469-36,3,2006-01-17,2006-01-17,1,1,0,0,2,0,2,2,0,1
2004-000472-14,5,2005-11-07,2005-12-22,2,1,0,0,2,0,0,2,0,1
2004-000476-13,2,,,0,1,0,2,3,0,0,2,0,1
2004-000478-30,8,2011-02-11,2011-02-11,4,1,0,1,3,0,0,2,0,1
2004-000480-10,5,2010-01-14,2010-01-14,2,0,0,0,3,0,0,2,1,1
2004-000482-35,2,2006-12-08,2006-12-08,1,1,0,0,2,0,0,2,0,1
2004-000483-27,3,,,0,1,0,0,3,0,0,2,0,1
2004-000485-13,6,2010-03-19,2010-03-19,2,0,0,1,3,0,0,2,0,1
2004-000486-35,1,,,0,0,0,0,3,0,0,0,0,1
2004-000487-27,3,2005-03-15,2005-03-15,1,1,0,0,0,0,0,1,0,1
2004-000488-83,10,2008-05-15,2008-05-15,8,1,0,0,3,0,0,2,0,1
2004-000492-33,3,,,0,1,0,0,3,0,0,1,0,1
2004-000493-32,3,,,0,1,0,0,3,0,0,2,0,1
2004-000495-14,1,,,0,0,0,0,2,0,0,0,0,3
2004-000499-16,1,,,0,0,0,0,2,0,0,1,0,1
2004-000501-21,1,,,0,1,0,1,2,0,0,0,0,1
2004-000502-40,1,,,0,0,0,0,2,0,0,0,0,0
2004-000506-52,9,2009-06-02,2009-06-02,8,1,0,0,3,0,0,1,0,2
2004-000507-17,1,,,0,0,0,3,2,0,0,0,0,0
2004-000509-24,4,2006-06-15,2006-06-15,2,1,0,0,2,0,0,2,0,1
2004-000511-25,1,,,0,1,0,0,2,0,0,1,0,1
2004-000512-17,3,2008-05-14,2008-05-14,3,1,0,0,3,0,0,1,0,1
2004-000514-38,1,,,0,1,0,0,3,0,0,1,0,1
2004-000517-19,1,,,0,0,0,0,4,0,0,0,0,0
2004-000518-37,2,,,0,1,0,0,3,0,1,2,0,1
2004-000520-32,1,,,0,1,0,0,3,0,0,0,0,1
2004-000526-75,1,,,0,1,0,1,3,0,0,0,0,1
2004-000530-37,3,2005-04-05,2005-04-05,1,1,0,0,3,0,0,1,0,1
