trial_id,number_of_countries,min_end_date,max_end_date,comp_date,has_results,includes_pip,rare_disease,phase,bioequivalence_study,health_volunteers,trial_status,terminated,sponsor_status,name_of_sponsor
2004-000007-18,1,,,0,1,0,0,3,0,0,1,0,1,GlaxoSmithKline AB
2004-000012-13,3,,,0,1,0,0,2,0,0,2,0,1,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development"
2004-000015-25,4,2006-09-25,2006-09-25,2,1,0,0,3,0,0,2,0,1,Wyeth Research Division of Wyeth Pharmaceuticals Inc. Clinical Research and Development
2004-000016-10,2,,,0,0,0,0,2,0,0,2,0,1,"Wyeth Research Division of Wyeth Pharmaceuticals Inc., Clinical Research and Development"
2004-000020-32,1,,,0,1,0,0,3,0,0,1,0,1,Bristol Myers Squibb International Corporation
2004-000022-75,4,,,0,1,0,0,3,0,0,2,0,1,Bristol-Myers Squibb International Corporation
2004-000023-15,14,2007-07-13,2007-07-22,11,1,0,0,3,0,0,2,0,1,Lilly S.A.
2004-000025-29,3,,,0,1,0,0,2,0,0,1,0,1,Novartis Sweden AB
2004-000028-34,4,2008-03-10,2008-03-10,2,1,0,0,3,0,0,1,0,1,Lilly S.A
2004-000029-31,1,,,0,0,0,3,3,0,0,0,0,1,InterMune
2004-000033-11,1,2005-06-30,2005-06-30,1,1,0,0,3,0,0,1,0,1,Bristol Myers Squibb International Corporation
2004-000035-28,1,2004-12-01,2004-12-01,1,0,0,0,3,0,1,1,0,1,Wyeth Consumer Healthcare
2004-000039-27,8,2006-05-12,2006-05-29,7,1,0,0,3,0,0,1,0,2,MEDIMMUNE ONCOLOGY INC
2004-000046-21,5,2007-07-17,2007-07-17,1,1,0,0,2,0,0,2,1,1,Centocor BV
2004-000047-18,1,,,0,1,0,0,3,0,0,1,0,1,Biogen Idec Ltd.
2004-000050-23,2,2006-06-15,2006-06-15,1,1,0,0,2,0,0,2,0,1,NV Organon
2004-000053-34,1,2005-11-22,2005-11-22,1,0,0,0,3,0,0,1,0,1,"Orion Corporation, Orion Pharma, Orionintie,"
2004-000060-27,1,2007-11-27,2007-11-27,1,1,0,3,3,0,0,1,0,1,GLAXO SMITHKLINE
2004-000063-10,1,,,0,1,0,0,4,0,0,0,0,1,Galderma R&D
2004-000073-64,1,,,0,1,0,0,2,0,0,1,0,1,"Merck & Co., Inc./Suomen MSD Oy"
2004-000074-31,2,,,0,1,0,0,2,0,0,1,0,1,Merck Sharp & Dohme (Sweden) AB
2004-000081-13,1,,,0,1,0,0,3,0,0,0,0,1,F Hoffmann-La Roche Ltd
2004-000083-27,5,2009-09-30,2009-11-09,4,1,0,0,3,0,0,2,0,1,ALK-Abelló A/S
2004-000086-35,2,,,0,1,0,0,3,0,0,1,0,1,Novo Nordisk Scandinavia AB
2004-000087-27,2,,,0,1,0,0,3,0,0,1,0,1,Novo Nordisk Scandinavia AB
2004-000088-92,3,2006-04-27,2006-04-27,1,1,0,2,2,0,0,2,0,1,Novo Nordisk A/S
2004-000089-11,2,,,0,0,0,0,3,0,0,1,0,1,Axonyx Inc
2004-000091-14,5,,,0,1,0,2,3,0,0,2,0,1,"GlaxoSmithKline, S.A"
